project_id,risk_overall,risk_environment_and_social,risk_fiduciary,risk_institutional_capacity,risk_macroeconomic,risk_political_and_governance,risk_sector_strategies_and_policies,risk_stakeholders,risk_technical_design,risk_rating_sequence
P125964,2,1,2,2,3,2,2,1,1,8
P125996,2,2,2,2,2,2,2,1,2,9
P125999,2,2,2,2,1,1,2,1,1,12
P126033,2,2,2,1,1,2,1,1,3,9
P126049,3,1,3,3,2,3,1,2,3,8
P126130,3,2,3,2,3,3,2,2,2,8
P126210,3,3,2,2,1,1,1,1,2,11
P126278,3,2,4,4,3,3,4,3,4,9
P126321,3,3,3,3,3,3,2,3,2,8
P126324,2,1,2,3,2,1,1,2,1,8
P126343,2,2,3,2,3,4,2,2,2,11
P126346,3,3,3,3,3,4,3,3,2,9
P126357,2,1,2,3,1,3,1,1,2,12
P126361,2,2,2,3,2,2,2,2,2,6
